Comment,Designator,Footprint,LCSC
1k,"R14,R9",R_0402_1005Metric,C11702
Flash,"SW1,SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm,C127509
CH340G,U3,SOIC-16_3.9x9.9mm_P1.27mm,C14267
100nF,"C1,C8,C9",C_0402_1005Metric,C1525
470pF,C3,C_0402_1005Metric,C1537
12pF,"C5,C6",C_0402_1005Metric,C1547
10uF,"C4,C7",C_0402_1005Metric,C15525
USB_C,CN1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Pwr,LD1,LED_0603_1608Metric,C2286
User,LD2,LED_0603_1608Metric,C2288
470,"R10,R11",R_0402_1005Metric,C25117
100k,R8,R_0402_1005Metric,C25741
10k,"R12,R13,R15,R3,R4,R5,R6",R_0402_1005Metric,C25744
220k,R7,R_0402_1005Metric,C25767
5k1,"R1,R2",R_0402_1005Metric,C25905
1uF,C2,C_0402_1005Metric,C52923
ESP-12F,U1,ESP-12E,C82891
Crystal,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
SPX3819M5-L-3-3,U2,SOT-23-5,C9055
