Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,129.4384,-106.8324,-90.0,top
C2,1uF,C_0402_1005Metric,136.525,-113.538,-90.0,top
C3,470pF,C_0402_1005Metric,136.5504,-111.3536,-90.0,top
C4,10uF,C_0402_1005Metric,131.3688,-111.2012,-90.0,top
C5,12pF,C_0402_1005Metric,152.146,-111.9124,90.0,top
C6,12pF,C_0402_1005Metric,157.8356,-112.0648,-90.0,top
C7,10uF,C_0402_1005Metric,160.6296,-99.2124,90.0,top
C8,100nF,C_0402_1005Metric,159.4104,-99.2124,90.0,top
C9,100nF,C_0402_1005Metric,159.9692,-96.774,0.0,top
CN1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,144.78,-129.54,0.0,top
LD1,Pwr,LED_0603_1608Metric,136.398,-127.762,90.0,top
LD2,User,LED_0603_1608Metric,153.416,-127.762,90.0,top
R1,5k1,R_0402_1005Metric,141.224,-119.888,180.0,top
R2,5k1,R_0402_1005Metric,141.224,-121.158,180.0,top
R3,10k,R_0402_1005Metric,139.1158,-65.5848,90.0,top
R4,10k,R_0402_1005Metric,140.335,-65.5848,90.0,top
R5,10k,R_0402_1005Metric,129.4384,-96.8248,90.0,top
R6,10k,R_0402_1005Metric,150.5712,-70.0532,180.0,top
R7,220k,R_0402_1005Metric,150.6728,-75.0824,180.0,top
R8,100k,R_0402_1005Metric,150.6728,-73.914,0.0,top
R9,1k,R_0402_1005Metric,134.874,-128.016,90.0,top
R10,470,R_0402_1005Metric,150.622,-94.2848,180.0,top
R11,470,R_0402_1005Metric,150.622,-92.3036,180.0,top
R12,10k,R_0402_1005Metric,150.7744,-118.4148,-90.0,top
R13,10k,R_0402_1005Metric,138.684,-118.364,-90.0,top
R14,1k,R_0402_1005Metric,154.94,-128.27,90.0,top
R15,10k,R_0402_1005Metric,160.4518,-93.5736,180.0,top
SW1,Flash,SW_Push_1P1T_NO_6x6mm_H9.5mm,156.845,-121.158,180.0,top
SW2,Reset,SW_Push_1P1T_NO_6x6mm_H9.5mm,132.715,-121.158,180.0,top
U1,ESP-12F,ESP-12E,139.7,-95.816,0.0,top
U2,SPX3819M5-L-3-3,SOT-23-5,133.9088,-112.3696,90.0,top
U3,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,154.94,-104.14,0.0,top
Y1,Crystal,Crystal_SMD_3225-4Pin_3.2x2.5mm,155.0416,-111.9124,0.0,top
