Component,Description,Part,References,Value,Footprint,Quantity Per PCB,LCSC
1,Unpolarized capacitor,C,C5 C6,12pF,C_0402_1005Metric,2,C1547
2,Unpolarized capacitor,C,C3,470pF,C_0402_1005Metric,1,C1537
3,Unpolarized capacitor,C,C1 C8 C9,100nF,C_0402_1005Metric,3,C1525
4,Unpolarized capacitor,C,C2,1uF,C_0402_1005Metric,1,C52923
5,Unpolarized capacitor,C,C4 C7,10uF,C_0402_1005Metric,2,C15525
6,USB 2.0-only Type-C Receptacle connector,USB_C_Receptacle_USB2.0,CN1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,C165948
7,Light emitting diode,LED,LD1,Pwr,LED_0603_1608Metric,1,C2286
8,Light emitting diode,LED,LD2,User,LED_0603_1608Metric,1,C2288
9,Resistor,R,R10 R11,470,R_0402_1005Metric,2,C25117
10,Resistor,R,R9 R14,1k,R_0402_1005Metric,2,C11702
11,Resistor,R,R1 R2,5k1,R_0402_1005Metric,2,C25905
12,Resistor,R,R3 R4 R5 R6 R12 R13 R15,10k,R_0402_1005Metric,7,C25744
13,Resistor,R,R8,100k,R_0402_1005Metric,1,C25741
14,Resistor,R,R7,220k,R_0402_1005Metric,1,C25767
15,"Push button switch, generic, two pins",SW_Push,SW1,Flash,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,C127509
16,"Push button switch, generic, two pins",SW_Push,SW2,Reset,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,C127509
17,"USB serial converter, UART, SOIC-16",CH340G,U3,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,1,C14267
18,802.11 b/g/n Wi-Fi Module,ESP-12F,U1,ESP-12F,ESP-12E,1,C82891
19,"500mA Low drop-out regulator, Fixed Output 3.3V, SOT-23-5",SPX3819M5-L-3-3,U2,SPX3819M5-L-3-3,SOT-23-5,1,C9055
20,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y1,Crystal,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,C9002





Component Groups:,25
Component Count:,39
Fitted Components:,33
Number of PCBs:,1
Total components:,33
Schematic Version:,1.0
Schematic Date:,2022-04-23
PCB Variant:,default
BoM Date:,6/5/2022 7:47:07 PM
Schematic Source:,Ganimede_Esp8266.kicad_sch
KiCad Version:,Eeschema (6.0.1)
